league,number,sport,championship,month,year,date,t1,t1loc
NCAA D1 - Men,752,basketball-men,NCAA Division I Men's Basketball Tournament,March,1999,3/1/1999,University of Connecticut,"Mansfield, Connecticut"
NBA,753,basketball,NBA Championship,April,1999,4/1/1999,San Antonio Spurs,"San Antonio, Texas"
NCAA D1 - Women,754,basketball-women,NCAA Division I Women's Basketball Tournament,April,1999,4/1/1999,Purdue University,"West Lafayette, Indiana"
NHL,755,ice_hockey,Stanley Cup,June,1999,6/1/1999,Dallas Stars,"Dallas, Texas"
NCAA D1 - Men,756,baseball-men,College World Series,June,1999,6/1/1999,University of Miami,"Miami, Florida"
MLB,757,baseball,world series,October,1999,10/1/1999,New York Yankees,"New York, New York"
CFL,758,canadian_football,Grey Cup,November,1999,11/1/1999,Hamilton Tiger-Cats,"Hamilton, Ontario"
MLS,759,soccer,MLS Cup,November,1999,11/1/1999,D.C. United,"Washington, DC"
NCAA D1 - Women,760,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1999,12/1/1999,Penn State University,"Centre Country, Pennsylvania"
NCAA D1 - Women,761,soccer-women,NCAA Division I Women's Soccer Championship,December,1999,12/1/1999,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Men,762,american_football-men,FBS,January,2000,1/1/2000,Florida State University,"Tallahassee, Florida"
NCAA D1 - Men,763,american_football-men,FCS,January,2000,1/1/2000,Georgia Southern University,"Statesboro, Georgia"
NFL,764,american_football,Superbowl,January,2000,1/1/2000,St Louis Rams,"St Louis, Missouri"
NCAA D1 - Men,765,basketball-men,NCAA Division I Men's Basketball Tournament,March,2000,3/1/2000,Michigan State University,"East Lansing, Michigan"
NBA,766,basketball,NBA Championship,April,2000,4/1/2000,Los Angeles Lakers,"Los Angeles, California"
NCAA D1 - Women,767,basketball-women,NCAA Division I Women's Basketball Tournament,April,2000,4/1/2000,University of Connecticut,"Mansfield, Connecticut"
NCAA D1 - Men,768,baseball-men,College World Series,June,2000,6/1/2000,Louisiana State University,"Baton Rouge, Louisiana"
NHL,769,ice_hockey,Stanley Cup,June,2000,6/1/2000,New Jersey Devils,"Newark, New jersey"
MLB,770,baseball,world series,October,2000,10/1/2000,New York Yankees,"New York, New York"
MLS,771,soccer,MLS Cup,October,2000,10/1/2000,Kansas City Wizards,"Kansas City, Missouri"
CFL,772,canadian_football,Grey Cup,November,2000,11/1/2000,BC Lions,"Vancouver, British Columbia"
NCAA D1 - Women,773,soccer-women,NCAA Division I Women's Soccer Championship,December,2000,12/1/2000,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Women,774,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2000,12/1/2000,University of Nebraska,"Lincoln, Nebraska"
NCAA D1 - Men,775,american_football-men,FBS,January,2001,1/1/2001,University of Oklahama,"Norman, Oklahoma"
NCAA D1 - Men,776,american_football-men,FCS,January,2001,1/1/2001,Georgia Southern University,"Statesboro, Georgia"
NFL,777,american_football,Superbowl,January,2001,1/1/2001,Baltimore Ravens,"Baltimore, Maryland"
NCAA D1 - Men,778,basketball-men,NCAA Division I Men's Basketball Tournament,March,2001,3/1/2001,Duke University,"Durham, North Carolina"
NCAA D1 - Women,779,basketball-women,NCAA Division I Women's Basketball Tournament,April,2001,4/1/2001,University of Notre Dame,"Notre Dame, Indiana"
NBA,780,basketball,NBA Championship,April,2001,4/1/2001,Los Angeles Lakers,"Los Angeles, California"
NHL,781,ice_hockey,Stanley Cup,June,2001,6/1/2001,Colorado Avalanche,"Denver, Colorado"
NCAA D1 - Men,782,baseball-men,College World Series,June,2001,6/1/2001,University of Miami,"Miami, Florida"
MLS,783,soccer,MLS Cup,October,2001,10/1/2001,San Jose Earthquakes,"San Jose, California"
MLB,784,baseball,world series,October,2001,10/1/2001,Arizona Diamondbacks,"Phoenix, Arizona"
CFL,785,canadian_football,Grey Cup,November,2001,11/1/2001,Calgary Stampeders,"Calgary, Alberta"
NCAA D1 - Women,786,soccer-women,NCAA Division I Women's Soccer Championship,December,2001,12/1/2001,Santa Clara University,"Santa Clara, California"
NCAA D1 - Women,787,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2001,12/1/2001,Stanford University,"Stanford, California"
NCAA D1 - Men,788,american_football-men,FBS,January,2002,1/1/2002,University of Miami,"Miami, Florida"
NCAA D1 - Men,789,american_football-men,FCS,January,2002,1/1/2002,University of Montana,"Dillon, Montana"
NFL,790,american_football,Superbowl,February,2002,2/1/2002,New England Patriots,"Boston, Massachusetts"
NCAA D1 - Men,791,basketball-men,NCAA Division I Men's Basketball Tournament,March,2002,3/1/2002,University of Maryland,"College Park, Maryland"
NBA,792,basketball,NBA Championship,April,2002,4/1/2002,Los Angeles Lakers,"Los Angeles, California"
NCAA D1 - Women,793,basketball-women,NCAA Division I Women's Basketball Tournament,April,2002,4/1/2002,University of Connecticut,"Mansfield, Connecticut"
NHL,794,ice_hockey,Stanley Cup,June,2002,6/1/2002,Detroit Red Wings,"Detroit, Michigan"
NCAA D1 - Men,795,baseball-men,College World Series,June,2002,6/1/2002,University of Texas,"Austin, Texas"
MLB,796,baseball,world series,October,2002,10/1/2002,Anaheim Angels,"Los Angeles, California"
MLS,797,soccer,MLS Cup,October,2002,10/1/2002,Los Angeles Galaxy,"Los Angeles, California"
CFL,798,canadian_football,Grey Cup,November,2002,11/1/2002,Montreal Alouettes,"Montreal, Quebec"
NCAA D1 - Women,799,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2002,12/1/2002,University of South Carolina,"Columbia, South Carolina"
NCAA D1 - Women,800,soccer-women,NCAA Division I Women's Soccer Championship,December,2002,12/1/2002,University of Portland,"Portland, Oregon"
NCAA D1 - Men,801,american_football-men,FCS,January,2003,1/1/2003,Western Kentucky University,"Bowling Green, Kentucky"
NCAA D1 - Men,802,american_football-men,FBS,January,2003,1/1/2003,Ohio State University,"Columbus, Ohio"
NFL,803,american_football,Superbowl,February,2003,2/1/2003,Tampa Bay Buccaneers,"Tampa, Florida"
NCAA D1 - Men,804,basketball-men,NCAA Division I Men's Basketball Tournament,March,2003,3/1/2003,Syracuse University,"Syracuse, New York"
NCAA D1 - Women,805,basketball-women,NCAA Division I Women's Basketball Tournament,April,2003,4/1/2003,University of Connecticut,"Mansfield, Connecticut"
NBA,806,basketball,NBA Championship,April,2003,4/1/2003,San Antonio Spurs,"San Antonio, Texas"
NHL,807,ice_hockey,Stanley Cup,June,2003,6/1/2003,New Jersey Devils,"Newark, New jersey"
NCAA D1 - Men,808,baseball-men,College World Series,June,2003,6/1/2003,Rice University,"Houston, Texas"
MLB,809,baseball,world series,October,2003,10/1/2003,Florida Marlins,"Miami, Florida"
CFL,810,canadian_football,Grey Cup,November,2003,11/1/2003,Edmonton Eskimos,"Edmonton, Alberta"
MLS,811,soccer,MLS Cup,November,2003,11/1/2003,San Jose Earthquakes,"San Jose, California"
NCAA D1 - Women,812,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2003,12/1/2003,University of South Carolina,"Columbia, South Carolina"
NCAA D1 - Women,813,soccer-women,NCAA Division I Women's Soccer Championship,December,2003,12/1/2003,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Men,814,american_football-men,FBS,January,2004,1/1/2004,Louisiana State University,"Baton Rouge, Louisiana"
NCAA D1 - Men,815,american_football-men,FCS,January,2004,1/1/2004,University of Delaware,"Newark, Delaware"
NCAA D1 - Men,816,american_football-men,FBS,January,2004,1/1/2004,University of Southern California,"Los Angeles, California"
NFL,817,american_football,Superbowl,February,2004,2/1/2004,New England Patriots,"Boston, Massachusetts"
NCAA D1 - Men,818,basketball-men,NCAA Division I Men's Basketball Tournament,March,2004,3/1/2004,University of Connecticut,"Mansfield, Connecticut"
NBA,819,basketball,NBA Championship,April,2004,4/1/2004,Detroit Pistons,"Detroit, Michigan"
NCAA D1 - Women,820,basketball-women,NCAA Division I Women's Basketball Tournament,April,2004,4/1/2004,University of Connecticut,"Mansfield, Connecticut"
NHL,821,ice_hockey,Stanley Cup,June,2004,6/1/2004,Tampa Bay Lightning,"Tampa, Florida"
NCAA D1 - Men,822,baseball-men,College World Series,June,2004,6/1/2004,"California State University, Fullerton","Fullerton, California"
MLB,823,baseball,world series,October,2004,10/1/2004,Boston Red Sox,"Boston, Massachusetts"
CFL,824,canadian_football,Grey Cup,November,2004,11/1/2004,Toronto Argonauts,"Toronto, Ontario"
MLS,825,soccer,MLS Cup,November,2004,11/1/2004,D.C. United,"Washington, DC"
NCAA D1 - Women,826,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2004,12/1/2004,Stanford University,"Stanford, California"
NCAA D1 - Women,827,soccer-women,NCAA Division I Women's Soccer Championship,December,2004,12/1/2004,University of Notre Dame,"Notre Dame, Indiana"
NCAA D1 - Men,828,american_football-men,FCS,January,2005,1/1/2005,James Madison University,"Harrisonburg, Virgina"
NCAA D1 - Men,829,american_football-men,FBS,January,2005,1/1/2005,University of Southern California,"Los Angeles, California"
NFL,830,american_football,Superbowl,February,2005,2/1/2005,New England Patriots,"Boston, Massachusetts"
NCAA D1 - Men,831,basketball-men,NCAA Division I Men's Basketball Tournament,March,2005,3/1/2005,University of North Carolina,"Chapel Hill, North Carolina"
NBA,832,basketball,NBA Championship,April,2005,4/1/2005,San Antonio Spurs,"San Antonio, Texas"
NCAA D1 - Women,833,basketball-women,NCAA Division I Women's Basketball Tournament,April,2005,4/1/2005,Baylor University,"Waco, Texas"
NHL,834,ice_hockey,Stanley Cup,June,2005,6/1/2005,,
NCAA D1 - Men,835,baseball-men,College World Series,June,2005,6/1/2005,University of Texas,"Austin, Texas"
MLB,836,baseball,world series,October,2005,10/1/2005,Chicago White Sox,"Chicago, Illinois"
CFL,837,canadian_football,Grey Cup,November,2005,11/1/2005,Edmonton Eskimos,"Edmonton, Alberta"
MLS,838,soccer,MLS Cup,November,2005,11/1/2005,Los Angeles Galaxy,"Los Angeles, California"
NCAA D1 - Women,839,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2005,12/1/2005,University of Washington,"Seattle, Washington"
NCAA D1 - Women,840,soccer-women,NCAA Division I Women's Soccer Championship,December,2005,12/1/2005,University of Portland,"Portland, Oregon"
NCAA D1 - Men,841,american_football-men,FBS,January,2006,1/1/2006,University of Texas,"Austin, Texas"
NCAA D1 - Men,842,american_football-men,FCS,January,2006,1/1/2006,Appalachian State University,"Boone, North Carolina"
NFL,843,american_football,Superbowl,February,2006,2/1/2006,Pittsburgh Steelers,"Pittsburgh, Pennsylvania"
NCAA D1 - Men,844,basketball-men,NCAA Division I Men's Basketball Tournament,March,2006,3/1/2006,University of Florida,"Gainesville, Florida"
NBA,845,basketball,NBA Championship,April,2006,4/1/2006,Miami Heat,"Miami, Florida"
NCAA D1 - Women,846,basketball-women,NCAA Division I Women's Basketball Tournament,April,2006,4/1/2006,University of Maryland,"College Park, Maryland"
NCAA D1 - Men,847,baseball-men,College World Series,June,2006,6/1/2006,Oregon State University,"Corvallis, Oregon"
NHL,848,ice_hockey,Stanley Cup,June,2006,6/1/2006,Carolina Hurricanes,"Raleigh, North Carolina"
MLB,849,baseball,world series,October,2006,10/1/2006,St Louis Cardinals,"St Louis, Missouri"
MLS,850,soccer,MLS Cup,November,2006,11/1/2006,Houston Dynamo,"Houston, Texas"
CFL,851,canadian_football,Grey Cup,November,2006,11/1/2006,BC Lions,"Vancouver, British Columbia"
NCAA D1 - Women,852,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2006,12/1/2006,University of Nebraska,"Lincoln, Nebraska"
NCAA D1 - Women,853,soccer-women,NCAA Division I Women's Soccer Championship,December,2006,12/1/2006,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Men,854,american_football-men,FBS,January,2007,1/1/2007,University of Florida,"Gainesville, Florida"
NCAA D1 - Men,855,american_football-men,FCS,January,2007,1/1/2007,Appalachian State University,"Boone, North Carolina"
NFL,856,american_football,Superbowl,February,2007,2/1/2007,Indianapolis Colts,"Indianapolis, Indiana"
NCAA D1 - Men,857,basketball-men,NCAA Division I Men's Basketball Tournament,March,2007,3/1/2007,University of Florida,"Gainesville, Florida"
NBA,858,basketball,NBA Championship,April,2007,4/1/2007,San Antonio Spurs,"San Antonio, Texas"
NCAA D1 - Women,859,basketball-women,NCAA Division I Women's Basketball Tournament,April,2007,4/1/2007,University of Tennessee,"Knoxville, Tennessee"
NCAA D1 - Men,860,baseball-men,College World Series,June,2007,6/1/2007,Oregon State University,"Corvallis, Oregon"
NHL,861,ice_hockey,Stanley Cup,June,2007,6/1/2007,Anaheim Ducks,"Los Angeles, California"
MLB,862,baseball,world series,October,2007,10/1/2007,Boston Red Sox,"Boston, Massachusetts"
CFL,863,canadian_football,Grey Cup,November,2007,11/1/2007,Saskatchewan Roughriders,"Regina, Saskatchewan"
MLS,864,soccer,MLS Cup,November,2007,11/1/2007,Houston Dynamo,"Houston, Texas"
NCAA D1 - Women,865,soccer-women,NCAA Division I Women's Soccer Championship,December,2007,12/1/2007,University of South Carolina,"Columbia, South Carolina"
NCAA D1 - Women,866,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2007,12/1/2007,Penn State University,"Centre Country, Pennsylvania"
NCAA D1 - Men,867,american_football-men,FBS,January,2008,1/1/2008,Louisiana State University,"Baton Rouge, Louisiana"
NCAA D1 - Men,868,american_football-men,FCS,January,2008,1/1/2008,Appalachian State University,"Boone, North Carolina"
NFL,869,american_football,Superbowl,February,2008,2/1/2008,New York Giants,"New York, New York"
NCAA D1 - Men,870,basketball-men,NCAA Division I Men's Basketball Tournament,March,2008,3/1/2008,University of Kansas,"Lawrence, Kansas"
NBA,871,basketball,NBA Championship,April,2008,4/1/2008,Boston Celtics,"Boston, Massachusetts"
NCAA D1 - Women,872,basketball-women,NCAA Division I Women's Basketball Tournament,April,2008,4/1/2008,University of Tennessee,"Knoxville, Tennessee"
NHL,873,ice_hockey,Stanley Cup,June,2008,6/1/2008,Detroit Red Wings,"Detroit, Michigan"
NCAA D1 - Men,874,baseball-men,College World Series,June,2008,6/1/2008,Fresno State,"Fresno, California"
MLB,875,baseball,world series,October,2008,10/1/2008,Philadelphia Philles,"Philadelphia, Pennsylvania"
CFL,876,canadian_football,Grey Cup,November,2008,11/1/2008,Calgary Stampeders,"Calgary, Alberta"
MLS,877,soccer,MLS Cup,November,2008,11/1/2008,Columbus Crew,"Columbus, Ohio"
NCAA D1 - Women,878,soccer-women,NCAA Division I Women's Soccer Championship,December,2008,12/1/2008,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Women,879,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2008,12/1/2008,Penn State University,"Centre Country, Pennsylvania"
NCAA D1 - Men,880,american_football-men,FBS,January,2009,1/1/2009,University of Florida,"Gainesville, Florida"
NCAA D1 - Men,881,american_football-men,FCS,January,2009,1/1/2009,University of Richmond,"Richmond, Virginia"
NFL,882,american_football,Superbowl,February,2009,2/1/2009,Pittsburgh Steelers,"Pittsburgh, Pennsylvania"
NCAA D1 - Men,883,basketball-men,NCAA Division I Men's Basketball Tournament,March,2009,3/1/2009,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Women,884,basketball-women,NCAA Division I Women's Basketball Tournament,April,2009,4/1/2009,University of Connecticut,"Mansfield, Connecticut"
NBA,885,basketball,NBA Championship,April,2009,4/1/2009,Los Angeles Lakers,"Los Angeles, California"
NCAA D1 - Men,886,baseball-men,College World Series,June,2009,6/1/2009,Louisiana State University,"Baton Rouge, Louisiana"
NHL,887,ice_hockey,Stanley Cup,June,2009,6/1/2009,Pittsburgh Penguins,"Pittsburgh, Pennsylvania"
MLB,888,baseball,world series,October,2009,10/1/2009,New York Yankees,"New York, New York"
MLS,889,soccer,MLS Cup,November,2009,11/1/2009,Real Salt Lake,"Salt Lake City, Utah"
CFL,890,canadian_football,Grey Cup,November,2009,11/1/2009,Montreal Alouettes,"Montreal, Quebec"
NCAA D1 - Women,891,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2009,12/1/2009,Penn State University,"Centre Country, Pennsylvania"
NCAA D1 - Women,892,soccer-women,NCAA Division I Women's Soccer Championship,December,2009,12/1/2009,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Men,893,american_football-men,FCS,January,2010,1/1/2010,Villanova University,"Villanova, Pennsylvania"
NCAA D1 - Men,894,american_football-men,FBS,February,2010,2/1/2010,University of Alabama,"Tuscaloosa, Alabama"
NFL,895,american_football,Superbowl,February,2010,2/1/2010,New Orleans Saints,"New Orleans, Louisiana"
NCAA D1 - Men,896,basketball-men,NCAA Division I Men's Basketball Tournament,March,2010,3/1/2010,Duke University,"Durham, North Carolina"
NBA,897,basketball,NBA Championship,April,2010,4/1/2010,Los Angeles Lakers,"Los Angeles, California"
NCAA D1 - Women,898,basketball-women,NCAA Division I Women's Basketball Tournament,April,2010,4/1/2010,University of Connecticut,"Mansfield, Connecticut"
NHL,899,ice_hockey,Stanley Cup,June,2010,6/1/2010,Chicago Blackhawks,"Chicago, Illinois"
NCAA D1 - Men,900,baseball-men,College World Series,June,2010,6/1/2010,University of South Carolina,"Columbia, South Carolina"
MLB,901,baseball,world series,October,2010,10/1/2010,San Francisco Giants,"San Francisco, California"
MLS,902,soccer,MLS Cup,November,2010,11/1/2010,Colorado Rapids,"Denver, Ontario"
CFL,903,canadian_football,Grey Cup,November,2010,11/1/2010,Montreal Alouettes,"Montreal, Quebec"
NCAA D1 - Women,904,soccer-women,NCAA Division I Women's Soccer Championship,December,2010,12/1/2010,University of Notre Dame,"Notre Dame, Indiana"
NCAA D1 - Women,905,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2010,12/1/2010,Penn State University,"Centre Country, Pennsylvania"
NCAA D1 - Men,906,american_football-men,FCS,January,2011,1/1/2011,Eastern Washington University,"Cheney, Washington"
NCAA D1 - Men,907,american_football-men,FBS,February,2011,2/1/2011,Auburn University,"Auburn, Alabama"
NFL,908,american_football,Superbowl,February,2011,2/1/2011,Green Bay Packers,"Green Bay, Wisconsin"
NCAA D1 - Men,909,basketball-men,NCAA Division I Men's Basketball Tournament,March,2011,3/1/2011,University of Connecticut,"Mansfield, Connecticut"
NCAA D1 - Women,910,basketball-women,NCAA Division I Women's Basketball Tournament,April,2011,4/1/2011,Texas A&M,"College Station, Texas"
NBA,911,basketball,NBA Championship,April,2011,4/1/2011,Dallas Mavericks,"Dallas, Texas"
NHL,912,ice_hockey,Stanley Cup,June,2011,6/1/2011,Boston Bruins,"Boston, Massachusetts"
NCAA D1 - Men,913,baseball-men,College World Series,June,2011,6/1/2011,University of South Carolina,"Columbia, South Carolina"
MLB,914,baseball,world series,October,2011,10/1/2011,St Louis Cardinals,"St Louis, Missouri"
MLS,915,soccer,MLS Cup,November,2011,11/1/2011,Los Angeles Galaxy,"Los Angeles, California"
CFL,916,canadian_football,Grey Cup,November,2011,11/1/2011,BC Lions,"Vancouver, British Columbia"
NCAA D1 - Women,917,soccer-women,NCAA Division I Women's Soccer Championship,December,2011,12/1/2011,Stanford University,"Stanford, California"
NCAA D1 - Women,918,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2011,12/1/2011,University of California-Los Angeles,"Los Angeles, California"
NCAA D1 - Men,919,american_football-men,FCS,January,2012,1/1/2012,North Dakota State University,"Fargo, North Dakota"
NCAA D1 - Men,920,american_football-men,FBS,January,2012,1/1/2012,University of Alabama,"Tuscaloosa, Alabama"
NFL,921,american_football,Superbowl,February,2012,2/1/2012,New York Giants,"New York, New York"
NCAA D1 - Men,922,basketball-men,NCAA Division I Men's Basketball Tournament,March,2012,3/1/2012,University of Kentucky,"Lexington, Kentucky"
NBA,923,basketball,NBA Championship,April,2012,4/1/2012,Miami Heat,"Miami, Florida"
NCAA D1 - Women,924,basketball-women,NCAA Division I Women's Basketball Tournament,April,2012,4/1/2012,Baylor University,"Waco, Texas"
NHL,925,ice_hockey,Stanley Cup,June,2012,6/1/2012,Los Angeles Kings,"Los Angeles, California"
NCAA D1 - Men,926,baseball-men,College World Series,June,2012,6/1/2012,University of Arizona,"Tucson, Arizona"
MLB,927,baseball,world series,October,2012,10/1/2012,San Francisco Giants,"San Francisco, California"
CFL,928,canadian_football,Grey Cup,November,2012,11/1/2012,Toronto Argonauts,"Toronto, Ontario"
MLS,929,soccer,MLS Cup,December,2012,12/1/2012,Los Angeles Galaxy,"Los Angeles, California"
NCAA D1 - Women,930,soccer-women,NCAA Division I Women's Soccer Championship,December,2012,12/1/2012,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Women,931,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2012,12/1/2012,University of Texas,"Austin, Texas"
NCAA D1 - Men,932,american_football-men,FCS,January,2013,1/1/2013,North Dakota State University,"Fargo, North Dakota"
NCAA D1 - Men,933,american_football-men,FBS,January,2013,1/1/2013,University of Alabama,"Tuscaloosa, Alabama"
NFL,934,american_football,Superbowl,February,2013,2/1/2013,Baltimore Ravens,"Baltimore, Maryland"
NCAA D1 - Men,935,basketball-men,NCAA Division I Men's Basketball Tournament,March,2013,3/1/2013,,
NBA,936,basketball,NBA Championship,April,2013,4/1/2013,Miami Heat,"Miami, Florida"
NCAA D1 - Women,937,basketball-women,NCAA Division I Women's Basketball Tournament,April,2013,4/1/2013,University of Connecticut,"Mansfield, Connecticut"
NHL,938,ice_hockey,Stanley Cup,June,2013,6/1/2013,Chicago Blackhawks,"Chicago, Illinois"
NCAA D1 - Men,939,baseball-men,College World Series,June,2013,6/1/2013,University of California-Los Angeles,"Los Angeles, California"
MLB,940,baseball,world series,October,2013,10/1/2013,Boston Red Sox,"Boston, Massachusetts"
CFL,941,canadian_football,Grey Cup,November,2013,11/1/2013,Saskatchewan Roughriders,"Regina, Saskatchewan"
NCAA D1 - Women,942,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2013,12/1/2013,Penn State University,"Centre Country, Pennsylvania"
MLS,943,soccer,MLS Cup,December,2013,12/1/2013,Sporting Kansas City,"Kansas City, Missouri"
NCAA D1 - Women,944,soccer-women,NCAA Division I Women's Soccer Championship,December,2013,12/1/2013,University of California-Los Angeles,"Los Angeles, California"
NCAA D1 - Men,945,american_football-men,FCS,January,2014,1/1/2014,North Dakota State University,"Fargo, North Dakota"
NCAA D1 - Men,946,american_football-men,FBS,January,2014,1/1/2014,Florida State University,"Tallahassee, Florida"
NFL,947,american_football,Superbowl,February,2014,2/1/2014,Seattle Seahawks,"Seattle, Washington"
NCAA D1 - Men,948,basketball-men,NCAA Division I Men's Basketball Tournament,March,2014,3/1/2014,University of Connecticut,"Mansfield, Connecticut"
NBA,949,basketball,NBA Championship,April,2014,4/1/2014,San Antonio Spurs,"San Antonio, Texas"
NCAA D1 - Women,950,basketball-women,NCAA Division I Women's Basketball Tournament,April,2014,4/1/2014,University of Connecticut,"Mansfield, Connecticut"
NCAA D1 - Men,951,baseball-men,College World Series,June,2014,6/1/2014,Vanderbilt University,"Nashville, Tennessee"
NHL,952,ice_hockey,Stanley Cup,June,2014,6/1/2014,Los Angeles Kings,"Los Angeles, California"
MLB,953,baseball,world series,October,2014,10/1/2014,San Francisco Giants,"San Francisco, California"
CFL,954,canadian_football,Grey Cup,November,2014,11/1/2014,Calgary Stampeders,"Calgary, Alberta"
MLS,955,soccer,MLS Cup,December,2014,12/1/2014,Los Angeles Galaxy,"Los Angeles, California"
NCAA D1 - Women,956,soccer-women,NCAA Division I Women's Soccer Championship,December,2014,12/1/2014,Florida State University,"Tallahassee, Florida"
NCAA D1 - Women,957,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2014,12/1/2014,Penn State University,"Centre Country, Pennsylvania"
NCAA D1 - Men,958,american_football-men,FCS,January,2015,1/1/2015,North Dakota State University,"Fargo, North Dakota"
NCAA D1 - Men,959,american_football-men,FBS,January,2015,1/1/2015,Ohio State University,"Columbus, Ohio"
NFL,960,american_football,Superbowl,February,2015,2/1/2015,New England Patriots,"Boston, Massachusetts"
NCAA D1 - Men,961,basketball-men,NCAA Division I Men's Basketball Tournament,March,2015,3/1/2015,Duke University,"Durham, North Carolina"
NBA,962,basketball,NBA Championship,April,2015,4/1/2015,Golden State Warriors,"Oakland, California"
NCAA D1 - Women,963,basketball-women,NCAA Division I Women's Basketball Tournament,April,2015,4/1/2015,University of Connecticut,"Mansfield, Connecticut"
NHL,964,ice_hockey,Stanley Cup,June,2015,6/1/2015,Chicago Blackhawks,"Chicago, Illinois"
NCAA D1 - Men,965,baseball-men,College World Series,June,2015,6/1/2015,University of Virginia,"Charlottesville, Virginia"
MLB,966,baseball,world series,October,2015,10/1/2015,Kansas City Royals,"Kansas City, Missouri"
CFL,967,canadian_football,Grey Cup,November,2015,11/1/2015,Edmonton Eskimos,"Edmonton, Alberta"
MLS,968,soccer,MLS Cup,December,2015,12/1/2015,Portland Timbers,"Portland, Oregon"
NCAA D1 - Women,969,soccer-women,NCAA Division I Women's Soccer Championship,December,2015,12/1/2015,Penn State University,"Centre Country, Pennsylvania"
NCAA D1 - Women,970,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2015,12/1/2015,University of Nebraska,"Lincoln, Nebraska"
NCAA D1 - Men,971,american_football-men,FCS,January,2016,1/1/2016,North Dakota State University,"Fargo, North Dakota"
NCAA D1 - Men,972,american_football-men,FBS,January,2016,1/1/2016,University of Alabama,"Tuscaloosa, Alabama"
NFL,973,american_football,Superbowl,February,2016,2/1/2016,Denver Broncos,"Denver, Colorado"
NCAA D1 - Men,974,basketball-men,NCAA Division I Men's Basketball Tournament,March,2016,3/1/2016,Villanova University,"Villanova, Pennsylvania"
NCAA D1 - Women,975,basketball-women,NCAA Division I Women's Basketball Tournament,April,2016,4/1/2016,University of Connecticut,"Mansfield, Connecticut"
NBA,976,basketball,NBA Championship,April,2016,4/1/2016,Cleveland Cavaliers,"Cleveland, Ohio"
NHL,977,ice_hockey,Stanley Cup,June,2016,6/1/2016,Pittsburgh Penguins,"Pittsburgh, Pennsylvania"
NCAA D1 - Men,978,baseball-men,College World Series,June,2016,6/1/2016,Coastal Carolina University,"Conway, South Carolina"
MLB,979,baseball,world series,October,2016,10/1/2016,Chicago Cubs,"Chicago, Illinois"
CFL,980,canadian_football,Grey Cup,November,2016,11/1/2016,Ottawa Redblacks,"Ottawa, Ontario"
NCAA D1 - Women,981,volleyball-women,NCAA Division I Women's Volleyball Championship,December,2016,12/1/2016,Stanford University,"Stanford, California"
MLS,982,soccer,MLS Cup,December,2016,12/1/2016,Seattle Sounders FC,"Seattle, Washington"
NCAA D1 - Women,983,soccer-women,NCAA Division I Women's Soccer Championship,December,2016,12/1/2016,University of South Carolina,"Columbia, South Carolina"
NCAA D1 - Men,984,american_football-men,FBS,January,2017,1/1/2017,Clemson University,"Clemson, South Carolina"
NCAA D1 - Men,985,american_football-men,FCS,January,2017,1/1/2017,James Madison University,"Harrisonburg, Virgina"
NFL,986,american_football,Superbowl,February,2017,2/1/2017,New England Patriots,"Boston, Massachusetts"
NCAA D1 - Men,987,basketball-men,NCAA Division I Men's Basketball Tournament,March,2017,3/1/2017,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Women,988,basketball-women,NCAA Division I Women's Basketball Tournament,April,2017,4/1/2017,University of South Carolina,"Columbia, South Carolina"
NBA,989,basketball,NBA Championship,April,2017,4/1/2017,Golden State Warriors,"Oakland, California"
NHL,990,ice_hockey,Stanley Cup,June,2017,6/1/2017,Pittsburgh Penguins,"Pittsburgh, Pennsylvania"
NCAA D1 - Men,991,baseball-men,College World Series,June,2017,6/1/2017,University of Florida,"Gainesville, Florida"
MLB,992,baseball,world series,October,2017,10/1/2017,Houston Astros,"Houston, Texas"
CFL,993,canadian_football,Grey Cup,November,2017,11/1/2017,Toronto Argonauts,"Toronto, Ontario"
