league,first,trophySelector,colour,sport,championship,trophy,month,nextStep,prevStep,whereToNext,whereToPrev,yearFirst,year,number,date,note,t1,t1loc,t1coord,t2,t2loc,t2coord,t3,t3loc,t3coord,t4,t4loc,t4coord
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step75,step69,90,54,1915,1915,72,1/1/1915,"HAF, NCF",United States Military Academy,"West Point, New York","[-73.9559721, 41.3914827]",,,,,,,,,
MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step75,step72,90,54,,1915,73,10/1/1915,,Boston Red Sox,"Boston, Massachusetts","[-71.0588801, 42.3600825]",Philadelphia Phillies,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]",Detroit Tigers,"Detroit, Michigan","[-83.0457538, 42.331427]",Boston Braves,"Boston, Massachusetts","[-71.0588801, 42.3600825]"
CRU,FALSE,trophy-CFL,#7fc97f,canadian_football,Dominion Amateur Rugby Football Championship,Grey Cup,November,step75,step72,90,54,,1915,74,11/1/1915,,Hamilton Tigers,"Hamilton, Ontario","[-79.8711024, 43.2557206]",Toronto Rowing Association,"Toronto, Ontario","[-79.3831843, 43.653226]",,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step78,step72,90,54,1916,1916,75,1/1/1916,"HAF, NCF",Cornell University,"Ithaca, New York","[-76.5018807, 42.4439614]",,,,,,,,,
MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step78,step75,90,54,,1916,76,10/1/1916,,Boston Red Sox,"Boston, Massachusetts","[-71.0588801, 42.3600825]",Brooklyn Robins,"New York, New York","[-74.0059728, 40.7127753]",Chicago White Sox,"Chicago, Illinois","[-87.6297982, 41.8781136]",Philadelphia Phillies,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]"
CRU,FALSE,trophy-CFL,#7fc97f,canadian_football,,Grey Cup,November,step78,step75,90,54,,1916,77,11/1/1916,Canada's participation in the first world war resulted in the cancellation of the Grey Cup championship from 1916 to 1918.,,,,,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step81,step75,90,54,1917,1917,78,1/1/1917,"HAF, NCF",University of Pittsburgh,"Pittsburgh, Pennsylvania","[-79.9958864, 40.4406247999999]",,,,,,,,,
MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step81,step78,90,54,,1917,79,10/1/1917,,Chicago White Sox,"Chicago, Illinois","[-87.6297982, 41.8781136]",New York Giants,"New York, New York","[-74.0059728, 40.7127753]",Boston Red Sox,"Boston, Massachusetts","[-71.0588801, 42.3600825]",Philadelphia Phillies,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]"
CRU,FALSE,trophy-CFL,#7fc97f,canadian_football,,Grey Cup,November,step81,step78,90,54,,1917,80,11/1/1917,Canada's participation in the first world war resulted in the cancellation of the Grey Cup championship from 1916 to 1918.,,,,,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step85,step78,90,54,1918,1918,81,1/1/1918,"HAF, NCF",Georgia Tech,"Atlanta, Georgia","[-84.3879824, 33.7489954]",,,,,,,,,
NHL,TRUE,trophy-NHL,#bf5b17,ice_hockey,Stanley Cup,Stanley Cup,March,step85,step81,90,54,,1918,82,3/1/1918,,Toronto Arenas,"Toronto, Ontario","[-79.3831843, 43.653226]",Montreal Canadiens,"Montreal, Quebec","[-73.567256, 45.5016889]",,,,,,
MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step85,step81,90,54,,1918,83,10/1/1918,,Boston Red Sox,"Boston, Massachusetts","[-71.0588801, 42.3600825]",Chicago Cubs,"Chicago, Illinois","[-87.6297982, 41.8781136]",Cleveland Indians,"Cleveland, Ohio","[-81.6943605, 41.49932]",New York Giants,"New York, New York","[-74.0059728, 40.7127753]"
CRU,FALSE,trophy-CFL,#7fc97f,canadian_football,,Grey Cup,November,step85,step81,90,54,,1918,84,11/1/1918,Canada's participation in the first world war resulted in the cancellation of the Grey Cup championship from 1916 to 1918.,,,,,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step90,step81,90,54,1919,1919,85,1/1/1919,"NCF, HAF, NCF",University of Michigan,"Ann Arbor, Michigan","[-83.7430378, 42.2808256]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step90,step85,90,54,,1919,86,1/1/1919,"NCF, HAF, NCF",University of Pittsburgh,"Pittsburgh, Pennsylvania","[-79.9958864, 40.4406247999999]",,,,,,,,,
NHL,FALSE,trophy-NHL,#bf5b17,ice_hockey,Stanley Cup,Stanley Cup,March,step90,step85,90,54,,1919,87,3/1/1919,,Montreal Canadiens,"Montreal, Quebec","[-73.567256, 45.5016889]",Ottawa Senators,"Ottawa, Ontario","[-75.6971930999999, 45.4215296]",,,,,,
MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step90,step85,90,54,,1919,88,10/1/1919,,Cincinnati Reds,"Cincinnati, Ohio","[-84.5120196, 39.1031182]",Chicago White Sox,"Chicago, Illinois","[-87.6297982, 41.8781136]",Cleveland Indians,"Cleveland, Ohio","[-81.6943605, 41.49932]",New York Giants,"New York, New York","[-74.0059728, 40.7127753]"
CRU,FALSE,trophy-CFL,#7fc97f,canadian_football,,Grey Cup,November,step90,step85,90,54,,1919,89,11/1/1919,The 1919 Grey Cup was cancelled due to a lack of interest from the Interprovincial Rugby Football Union,,,,,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step97,step85,147,90,1920,1920,90,1/1/1920,"CFRA, HAF, NCF, CFRA, NCF, NCF",Texas A&M,"College Station, Texas","[-96.3344068, 30.627977]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step97,step90,147,90,,1920,91,1/1/1920,"CFRA, HAF, NCF, CFRA, NCF, NCF",University of Illinois,"Champaign County, Illinois","[-88.2461182999999, 40.2138865]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step97,step90,147,90,,1920,92,1/1/1920,"CFRA, HAF, NCF, CFRA, NCF, NCF",University of Notre Dame,"Notre Dame, Indiana","[-86.2379328, 41.7001908]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step97,step90,147,90,,1920,93,1/1/1920,"CFRA, HAF, NCF, CFRA, NCF, NCF",Harvard University,"Cambridge, Massachusetts","[-71.1097334999999, 42.3736158]",,,,,,,,,
NHL,FALSE,trophy-NHL,#bf5b17,ice_hockey,Stanley Cup,Stanley Cup,March,step97,step90,147,90,,1920,94,3/1/1920,The 1920 Stanley Cup finals was cancelled after game 5 due to an outbreak of influenza.,,,,,,,,,,,,
