year,word1,word2,totalOccurences,totalPer,total
1984,he,feels,102,19.608,2
1984,he,held,102,19.608,2
1984,he,love,102,19.608,2
1984,he,makes,102,9.804,2
1984,he,meant,102,19.608,2
1984,he,owns,102,19.608,2
1984,he,shouted,102,19.608,2
1984,he,sits,102,19.608,2
1984,he,spoke,102,19.608,2
1984,he,taught,102,9.804,2
1984,he,told,102,9.804,2
1984,he,waits,102,9.804,2
1984,he,washed,102,19.608,2
1984,he,appeared,102,9.804,1
1984,he,arises,102,9.804,1
1984,he,beats,102,9.804,1
1984,he,break,102,9.804,1
1984,he,cared,102,9.804,1
1984,he,die,102,9.804,1
1984,he,edge,102,9.804,1
1984,he,fears,102,9.804,1
1984,he,fell,102,9.804,1
1984,he,glances,102,9.804,1
1984,he,hacks,102,9.804,1
1984,he,hears,102,9.804,1
1984,he,hides,102,9.804,1
1984,he,"hold's",102,9.804,1
1984,he,hurts,102,9.804,1
1984,he,lay,102,9.804,1
1984,he,leaves,102,9.804,1
1984,he,lies,102,9.804,1
1984,he,likes,102,9.804,1
1984,he,limped,102,9.804,1
1984,he,looked,102,9.804,1
1984,he,lovesthem,102,9.804,1
1984,he,pay,102,9.804,1
1984,he,played,102,9.804,1
1984,he,raised,102,9.804,1
1984,he,ruled,102,9.804,1
1984,he,rules,102,9.804,1
1984,he,screams,102,9.804,1
1984,he,sends,102,9.804,1
1984,he,shot,102,9.804,1
1984,he,slipped,102,9.804,1
1984,he,started,102,9.804,1
1984,he,steal,102,9.804,1
1984,he,tells,102,9.804,1
1984,he,warned,102,9.804,1
1984,he,whispers,102,9.804,1
1984,he,"would've",102,9.804,1
1985,he,loves,152,157.895,24
1985,he,pushes,152,39.474,6
1985,he,cried,152,26.316,4
1985,he,makes,152,26.316,4
1985,he,prays,152,26.316,4
1985,he,rides,152,26.316,4
1985,he,stumbled,152,26.316,4
1985,he,walks,152,13.158,4
1985,he,drank,152,19.737,3
1985,he,lived,152,19.737,3
1985,he,looked,152,19.737,3
1985,he,surrenders,152,19.737,3
1985,he,bought,152,13.158,2
1985,he,brought,152,13.158,2
1985,he,calls,152,13.158,2
1985,he,climbs,152,13.158,2
1985,he,feels,152,6.579,2
1985,he,gladdens,152,13.158,2
1985,he,increases,152,13.158,2
1985,he,lays,152,13.158,2
1985,he,lead,152,13.158,2
1985,he,means,152,13.158,2
1985,he,promised,152,13.158,2
1985,he,sings,152,13.158,2
1985,he,smiles,152,13.158,2
1985,he,sold,152,13.158,2
1985,he,starts,152,13.158,2
1985,he,stole,152,6.579,2
1985,he,takes,152,13.158,2
1985,he,wishes,152,13.158,2
1985,he,acquired,152,6.579,1
1985,he,apalled,152,6.579,1
1985,he,blocks,152,6.579,1
1985,he,brushed,152,6.579,1
1985,he,butcher,152,6.579,1
1985,he,called,152,6.579,1
1985,he,carries,152,6.579,1
1985,he,circumcises,152,6.579,1
1985,he,conducts,152,6.579,1
1985,he,confesses,152,6.579,1
1985,he,crys,152,6.579,1
1985,he,dies,152,6.579,1
1985,he,disappeared,152,6.579,1
1985,he,draws,152,6.579,1
1985,he,drew,152,6.579,1
1985,he,endure,152,6.579,1
1985,he,fell,152,6.579,1
1985,he,figures,152,6.579,1
