category,cat_word,genre,year,pronoun,word1,word2,word,total,,,,
she,she-started,all,1980,she,she,started,started,11,,,,
she,she-drives,all,1980,she,she,drives,drives,10,,,,
she,she-fades,all,1980,she,she,fades,fades,10,,,,
she,she-fell,all,1980,she,she,fell,fell,10,,,,
she,she-holds,all,1980,she,she,holds,holds,10,,,,
she,she-smokes,all,1980,she,she,smokes,smokes,10,,,,
she,she-takes,all,1980,she,she,takes,takes,10,,,,
she,she-talks,all,1980,she,she,talks,talks,10,,,,
hers,hers-eyes,all,1980,her,her,eyes,eyes,102,,,,
hers,hers-heart,all,1980,her,her,heart,heart,66,,,,
hers,hers-hair,all,1980,her,her,hair,hair,47,,,,
hers,hers-mind,all,1980,her,her,mind,mind,46,,,,
hers,hers-head,all,1980,her,her,head,head,38,,,,
hers,hers-love,all,1980,her,her,love,love,30,,,,
hers,hers-life,all,1980,her,her,life,life,28,,,,
hers,hers-daddy,all,1980,her,her,daddy,daddy,26,,,,
hers,hers-eye,all,1980,her,her,eye,eye,23,,,,
hers,hers-arms,all,1980,her,her,arms,arms,22,,,,
hers,hers-dog,all,1980,her,her,dog,dog,22,,,,
hers,hers-lips,all,1980,her,her,lips,lips,22,,,,
hers,hers-body,all,1980,her,her,body,body,19,,,,
hers,hers-hand,all,1980,her,her,hand,hand,18,,,,
hers,hers-home,all,1980,her,her,home,home,18,,,,
hers,hers-mine,all,1980,her,her,mine,mine,18,,,,
hers,hers-style,all,1980,her,her,style,style,17,,,,
hers,hers-voice,all,1980,her,her,voice,voice,17,,,,
hers,hers-dreams,all,1980,her,her,dreams,dreams,15,,,,
hers,hers-dress,all,1980,her,her,dress,dress,11,,,,
hers,hers-skin,all,1980,her,her,skin,skin,11,,,,
hers,hers-smile,all,1980,her,her,smile,smile,11,,,,
hers,hers-walk,all,1980,her,her,walk,walk,11,,,,
hers,hers-feet,all,1980,her,her,feet,feet,10,,,,
hers,hers-hands,all,1980,her,her,hands,hands,10,,,,
hers,hers-kiss,all,1980,her,her,kiss,kiss,10,,,,
hers,hers-maidens,all,1980,her,her,maidens,maidens,10,,,,
hers,hers-tight,all,1980,her,her,tight,tight,10,,,,
hers,hers-,all,1980,,,,,,,,,
hers,hers-,all,1980,,,,,,,,,
her,her-her,all,1980,her,love,her,love,80,,,,
her,her-her,all,1980,her,hear,her,hear,33,,,,
her,her-her,all,1980,her,treat,her,treat,29,,,,
her,her-her,all,1980,her,gun,her,gun,25,,,,
her,her-her,all,1980,her,miss,her,miss,24,,,,
her,her-her,all,1980,her,told,her,told,23,,,,
her,her-her,all,1980,her,lost,her,lost,22,,,,
her,her-her,all,1980,her,watch,her,watch,21,,,,
her,her-her,all,1980,her,hold,her,hold,20,,,,
her,her-her,all,1980,her,kissed,her,kissed,20,,,,
her,her-her,all,1980,her,mistreat,her,mistreat,17,,,,
her,her-her,all,1980,her,met,her,met,16,,,,
her,her-her,all,1980,her,kill,her,kill,15,,,,
her,her-her,all,1980,her,kiss,her,kiss,14,,,,
