tweet_number,created_at,timestamp,text
117,2/8/2017 15:54:01,2/8/2017 11:54:01,16 Fake News Stories Reporters Have Run Since Trump Won' https://t.co/0dHld5kiVc
118,2/8/2017 17:41:09,2/8/2017 13:41:09,"Big increase in traffic into our country from certain areas, while our people are far more vulnerable, as we wait for what should be EASY D!"
119,2/8/2017 19:22:33,2/8/2017 15:22:33,"Thank you Brian Krzanich, CEO of @Intel. A great investment ($7 BILLION) in American INNOVATION and JOBS!… https://t.co/oicfDsPKHQ"
120,2/8/2017 19:39:51,2/8/2017 15:39:51,Immigration Ban Is One Of Trump's Most Popular Orders So Far' https://t.co/wAelwuQ4BE
121,2/8/2017 21:46:14,2/8/2017 17:46:14,"Majority in Leading EU Nations Support Trump-Style Travel Ban' 
Poll of more than 10,000 people in 10 countries...https://t.co/KWsIWhtC9o"
122,2/8/2017 22:07:18,2/8/2017 18:07:18,"Trump administration seen as more truthful than news media'
https://t.co/6LmsR5JOSW"
123,2/9/2017 1:05:53,2/8/2017 21:05:53,"Congratulations to our new Attorney General, @SenatorSessions! https://t.co/e0buP1K83z"
124,2/9/2017 11:57:59,2/9/2017 7:57:59,"Sen.Richard Blumenthal, who never fought in Vietnam when he said for years he had (major lie),now misrepresents what Judge Gorsuch told him?"
125,2/9/2017 13:19:08,2/9/2017 9:19:08,"Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave ""service"" in Vietnam. FAKE NEWS!"
126,2/9/2017 13:26:07,2/9/2017 9:26:07,Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so....
127,2/9/2017 13:31:59,2/9/2017 9:31:59,"...long he doesn't know how to win anymore, just look at the mess our country is in - bogged down in conflict all over the place. Our hero.."
128,2/9/2017 13:52:31,2/9/2017 9:52:31,"..Ryan died on a winning mission ( according to General Mattis), not a ""failure."" Time for the U.S. to get smart and start winning again!"
129,2/9/2017 15:58:01,2/9/2017 11:58:01,"Join us live in the Oval Office for the swearing in of our new Attorney General, @SenatorSessions!
LIVE:… https://t.co/QeW6vjog4A"
130,2/9/2017 23:35:49,2/9/2017 19:35:49,"SEE YOU IN COURT, THE SECURITY OF OUR NATION IS AT STAKE!"
131,2/10/2017 13:15:27,2/10/2017 9:15:27,"LAWFARE: ""Remarkably, in the entire opinion, the panel did not bother even to cite this (the) statute."" A disgraceful decision!"
132,2/10/2017 13:35:50,2/10/2017 9:35:50,"The failing @nytimes does major FAKE NEWS China story saying ""Mr.Xi has not spoken to Mr. Trump since Nov.14."" We spoke at length yesterday!"
133,2/10/2017 23:24:51,2/10/2017 19:24:51,Heading to Joint Base Andrews on #MarineOne with Prime Minister Shinzō earlier today. https://t.co/4JFhyYdeHO
134,2/11/2017 12:12:51,2/11/2017 8:12:51,"Our legal system is broken! ""77% of refugees allowed into U.S. since travel reprieve hail from seven suspect countries."" (WT)  SO DANGEROUS!"
135,2/11/2017 13:18:43,2/11/2017 9:18:43,"I am reading that the great border WALL will cost more than the government originally thought, but I have not gotten involved in the....."
136,2/11/2017 13:24:32,2/11/2017 9:24:32,"...design or negotiations yet. When I do, just like with the F-35 FighterJet or the Air Force One Program, price will come WAY DOWN!"
137,2/11/2017 13:33:53,2/11/2017 9:33:53,"Melania and I are hosting Japanese Prime Minister Shinzo Abe and Mrs. Abe at Mar-a-Lago in Palm Beach, Fla. They are a wonderful couple!"
138,2/11/2017 18:28:31,2/11/2017 14:28:31,"Having a great time hosting Prime Minister Shinzo Abe in the United States! 
https://t.co/Fvjsac89qS… https://t.co/hKqbMB2aQ9"
139,2/11/2017 23:00:21,2/11/2017 19:00:21,"I am so proud of my daughter Ivanka. To be abused and treated so badly by the media, and to still hold her head so high, is truly wonderful!"
140,2/11/2017 23:15:34,2/11/2017 19:15:34,"Played golf today with Prime Minister Abe of Japan and @TheBig_Easy, Ernie Els, and had a great time. Japan is very well represented!"
141,2/11/2017 23:24:08,2/11/2017 19:24:08,"A working dinner tonight with Prime Minister Abe of Japan, and his representatives, at the Winter White House (Mar-a-Lago). Very good talks!"
142,2/12/2017 3:23:13,2/11/2017 23:23:13,RT @Scavino45: LIVE Joint Statement by President Trump and Prime Minister Shinzo Abe: https://t.co/c3Fe5cUaaS
143,2/12/2017 5:02:01,2/12/2017 1:02:01,#ICYMI: Joint Statement with Prime Minister Shinzo Abe on North Korea. https://t.co/qEC87FKB1D
144,2/12/2017 11:34:45,2/12/2017 7:34:45,"The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members, drug dealers &amp; others are being removed!"
145,2/12/2017 11:55:10,2/12/2017 7:55:10,"72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA &amp; YEMEN"
146,2/12/2017 12:14:16,2/12/2017 8:14:16,"While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!"
